台番号,累計スタート,BB回数,RB回数,ART回数,最大持玉,BB確率,RB確率,ART確率,合成確率
"
478
",9628,37,36,0,2617,1/260.2,1/267.4,0.0,131.9
"
479
",7292,19,29,0,1165,1/383.8,1/251.4,0.0,151.9
"
480
",5425,17,11,0,827,1/319.1,1/493.2,0.0,193.8
"
481
",6644,35,14,0,2748,1/189.8,1/474.6,0.0,135.6
"
482
",6392,21,22,0,664,1/304.4,1/290.5,0.0,148.7
"
483
",8595,35,24,0,2522,1/245.6,1/358.1,0.0,145.7
"
484
",7478,25,27,0,1135,1/299.1,1/277.0,0.0,143.8
"
485
",8981,34,26,0,905,1/264.1,1/345.4,0.0,149.7
"
486
",8648,40,37,0,3772,1/216.2,1/233.7,0.0,112.3
"
487
",7744,27,17,0,1211,1/286.8,1/455.5,0.0,176.0
"
488
",6114,25,13,0,1643,1/244.6,1/470.3,0.0,160.9
"
489
",4770,11,8,0,637,1/433.6,1/596.3,0.0,251.1
"
490
",9003,45,37,0,4513,1/200.1,1/243.3,0.0,109.8
"
491
",7055,28,16,0,903,1/252.0,1/440.9,0.0,160.3
"
492
",5924,24,18,0,2131,1/246.8,1/329.1,0.0,141.0
"
493
",5406,15,11,0,762,1/360.4,1/491.5,0.0,207.9
"
494
",7970,27,32,0,1794,1/295.2,1/249.1,0.0,135.1
"
495
",5508,22,18,0,2032,1/250.4,1/306.0,0.0,137.7
"
496
",6057,26,15,0,1362,1/233.0,1/403.8,0.0,147.7
"
497
",6347,19,15,0,1216,1/334.1,1/423.1,0.0,186.7
"
498
",6416,17,11,0,831,1/377.4,1/583.3,0.0,229.1
"
499
",8029,31,24,0,980,1/259.0,1/334.5,0.0,146.0
"
500
",6199,23,19,0,2356,1/269.5,1/326.3,0.0,147.6
"
501
",6066,19,23,0,919,1/319.3,1/263.7,0.0,144.4
"
502
",8099,29,24,0,1773,1/279.3,1/337.5,0.0,152.8
"
503
",5972,21,21,0,1322,1/284.4,1/284.4,0.0,142.2
"
504
",5883,23,19,0,1145,1/255.8,1/309.6,0.0,140.1
"
505
",8846,40,38,0,3235,1/221.2,1/232.8,0.0,113.4
"
506
",3515,12,7,0,632,1/292.9,1/502.1,0.0,185.0
"
507
",5380,15,12,0,990,1/358.7,1/448.3,0.0,199.3
"
508
",5734,27,11,0,1662,1/212.4,1/521.3,0.0,150.9
"
509
",8374,43,30,0,4213,1/194.7,1/279.1,0.0,114.7
"
510
",3069,10,6,0,827,1/306.9,1/511.5,0.0,191.8
"
511
",6233,27,18,0,1861,1/230.9,1/346.3,0.0,138.5
"
512
",5799,24,12,0,854,1/241.6,1/483.3,0.0,161.1
"
513
",6286,19,16,0,986,1/330.8,1/392.9,0.0,179.6
"
514
",8155,26,26,0,1397,1/313.7,1/313.7,0.0,156.8
"
515
",3464,9,10,0,793,1/384.9,1/346.4,0.0,182.3
"
516
",7098,26,15,0,816,1/273.0,1/473.2,0.0,173.1
"
517
",7255,28,20,0,1493,1/259.1,1/362.8,0.0,151.1
"
524
",8151,32,19,0,2492,1/254.7,1/429.0,0.0,159.8
"
525
",8326,22,26,0,1293,1/378.5,1/320.2,0.0,173.5
"
526
",4384,14,10,0,1114,1/313.1,1/438.4,0.0,182.7
"
527
",5459,20,11,0,639,1/273.0,1/496.3,0.0,176.1
"
528
",8665,32,35,0,1927,1/270.8,1/247.6,0.0,129.3
"
529
",4689,20,11,0,2029,1/234.5,1/426.3,0.0,151.3
"
530
",8138,35,23,0,2932,1/232.5,1/353.8,0.0,140.3
"
531
",9602,37,47,0,2578,1/259.5,1/204.3,0.0,114.3
"
532
",7044,18,26,0,1520,1/391.3,1/270.9,0.0,160.1
"
533
",4426,17,11,0,1378,1/260.4,1/402.4,0.0,158.1
"
534
",8516,31,33,0,2210,1/274.7,1/258.1,0.0,133.1
"
535
",7024,18,21,0,1122,1/390.2,1/334.5,0.0,180.1
